date,count
2017-04-03,1309952
2017-04-02,2571258
2017-04-01,2797108
2017-03-31,3802333
2017-03-30,3211257
2017-03-29,3585410
2017-03-28,2475738
2017-03-27,2827040
2017-03-26,1992049
2017-03-25,1217666
2017-03-24,357560
